Chr	Start	End	Peak_score	Distance_to_TSS	EntrezID	Refseq	Ensembl	Gene	Peak_type	Peak_bin_distance	Peak_bin	Annotation_method	Interaction_score	Promoter_bin	TSS_bin_distance
chr6	72407091	72407792	0.0	-6866	56316.0	NM_019802	ENSMUSG00000053460	Ggcx	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	120969786	120970427	163.417	3215	102465614.0	NR_105982	ENSMUSG00000106436	Mir7015	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	81789069	81789855	189.995	-7	67290.0	NM_026077	ENSMUSG00000025102	3110040N11Rik	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	72390931	72391303	106.599	-450	22320.0	NM_016794	ENSMUSG00000050732	Vamp8	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	81763376	81763970	107.595	720	67148.0	NM_025997	ENSMUSG00000038646	Ramac	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	120013093	120013677	152.446	6405	319229.0	NM_001012322	ENSMUSG00000026387	Sctr	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	72380432	72381168	0.0	-332	53620.0	NM_016872	ENSMUSG00000073002	Vamp5	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	120850856	120851263	294.164	-3739	242662.0	NM_182929	ENSMUSG00000032890	Rims3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr12	112627181	112627603	254.227	7345	11565.0	NM_007421	ENSMUSG00000011148	Adssl1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	119919098	119919627	259.219	-6180	66343.0	NM_175106	ENSMUSG00000036975	Tmem177	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	120755283	120755769	200.947	-8127	60613.0	NM_001081142	ENSMUSG00000028631	Kcnq4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	72236969	72237580	0.0	-1698	71093.0	NM_153778	ENSMUSG00000037621	Atoh8	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr13	114931820	114932373	176.384	3	16398.0	NM_008396	ENSMUSG00000015533	Itga2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	81345129	81345573	0.0	-117	20068.0	NM_009092	ENSMUSG00000061787	Rps17	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr16	57634094	57634612	0.0	23567	12892.0	NM_007757	ENSMUSG00000022742	Cpox	Distal	9353.5	2.0	Interaction_anno	nan	1.0	4792.0
chrX	136237993	136238431	161.422	-6868	22381.0	NM_011712	ENSMUSG00000042712	Tceal9	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	81341661	81341855	120.546	3476	20068.0	NM_009092	ENSMUSG00000061787	Rps17	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	57611735	57612368	0.0	1266	12892.0, 114482837.0	NM_007757, NR_162788	ENSMUSG00000022742, nan	Cpox, Mir1970b	Promoter, Promoter	-12948.0, nan	-3.0, nan	Interaction_anno, Proximal_anno	nan, nan	1.0, nan	4792.0, nan
chr4	120589759	120590422	0.0	1346	667063.0	NM_001101603	ENSMUSG00000091297	Gm8439	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr16	57606718	57607349	157.155	-167	12892.0, 66497.0	NM_007757, NM_025599	ENSMUSG00000022742, ENSMUSG00000022748	Cpox, Cmss1	Promoter, Promoter	-17966.0, nan	-4.0, nan	Interaction_anno, Proximal_anno	nan, nan	1.0, nan	4792.0, nan
chr6	71632922	71633912	202.325	-500	104263.0	NM_173001	ENSMUSG00000053470	Kdm3a	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	155012840	155013398	0.0	-2094	269615.0	NM_175556	ENSMUSG00000029055	Plch2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	71440495	71441349	0.0	-285	68477.0	NM_024288	ENSMUSG00000002222	Rmnd5a	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	118498366	118499073	0.0	-39455	67949.0	NM_026472	ENSMUSG00000026377	Nifk	Distal	23720.0	5.0	Interaction_anno	nan	1.0	3157.0
chr6	71351220	71351737	142.475	-21948	12526.0	NM_009858	ENSMUSG00000053044	Cd8b1	Distal	-23521.0	-5.0	Interaction_anno	nan	0.0	2212.0
chr3	145941816	145942482	0.0	4135	66421.0, 18749.0	NM_025555, NM_011100	ENSMUSG00000036873, ENSMUSG00000005034	2410004B18Rik, Prkacb	Proximal, Proximal	nan, 17149.5	nan, 3.0	Proximal_anno, Interaction_anno	nan, nan	nan, -1.0	nan, -4307.0
chr1	118477070	118477588	211.306	-18064	67949.0	NM_026472	ENSMUSG00000026377	Nifk	Distal	2329.5	0.0	Interaction_anno	nan	1.0	3157.0
chr6	71349539	71349767	125.529	-23774	12525.0	NM_009857	ENSMUSG00000053977	Cd8a	Distal	24653.5	5.0	Interaction_anno	nan	0.0	1573.0
chr1	118321556	118321915	0.0	-107	67949.0	NM_026472	ENSMUSG00000026377	Nifk	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	81088968	81089221	139.484	-25704	209225.0	NM_175433	ENSMUSG00000048897	Zfp710	Distal	14095.0	3.0	Interaction_anno	nan	0.0	186.0
chr6	71302127	71302718	219.291	8658	12525.0, 381785.0	NM_009857, NM_001033462	ENSMUSG00000053977, ENSMUSG00000073018	Cd8a, Gm1070	Proximal, Proximal	-22577.0, nan	-5.0, nan	Interaction_anno, Proximal_anno	nan, nan	0.0, nan	1573.0, nan
chr7	81073399	81073554	98.632	15877	209225.0	NM_175433	ENSMUSG00000048897	Zfp710	Distal	-1523.0	-0.0	Interaction_anno	nan	0.0	186.0
chr3	67573120	67573792	0.0	-9312	66868.0	NM_025813	ENSMUSG00000027775	Mfsd1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	81060969	81061586	259.729	3678	209225.0, 116904.0	NM_175433, NM_054085	ENSMUSG00000048897, ENSMUSG00000038763	Zfp710, Alpk3	Proximal, Proximal	-13722.0, nan	-3.0, nan	Interaction_anno, Proximal_anno	nan, nan	0.0, nan	186.0, nan
chr3	67429366	67430416	0.0	-224	28030.0	NM_138591	ENSMUSG00000027774	Gfm1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr16	57166547	57167347	0.0	385	52633.0	NM_023175	ENSMUSG00000022751	Nit2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr16	56064410	56065180	0.0	7265	66315.0	NM_025483	ENSMUSG00000052917	Senp7	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	55973536	55973785	118.553	-143	271377.0	NM_173026	ENSMUSG00000022601	Zbtb11	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr3	65938221	65938787	0.0	19745	229363.0	NM_001033300	ENSMUSG00000027823	Gmps	Distal	13504.5	3.0	Interaction_anno	nan	-0.0	-1143.0
chr3	65930334	65930613	0.0	27775	229363.0	NM_001033300	ENSMUSG00000027823	Gmps	Distal	5474.0	1.0	Interaction_anno	nan	-0.0	-1143.0
chr3	65929584	65930082	246.772	28416	229363.0	NM_001033300	ENSMUSG00000027823	Gmps	Distal	4833.5	1.0	Interaction_anno	nan	-0.0	-1143.0
chr3	65527721	65528367	132.506	-403	99929.0	NM_178892	ENSMUSG00000034640	Tiparp	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	94697074	94697645	0.0	7139	432589.0	NM_001007584	ENSMUSG00000056008	Gm11541	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	94629284	94629929	0.0	-170	98238.0	NM_133807	ENSMUSG00000020869	Lrrc59	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	94621630	94622030	128.519	-7947	98238.0	NM_133807	ENSMUSG00000020869	Lrrc59	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	94574618	94575205	0.0	9865	12643.0	NM_007689	ENSMUSG00000039084	Chad	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	94548597	94550049	0.0	-116	237926.0	NM_001013381	ENSMUSG00000039096	Rsad1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	94544002	94544200	94.649	5106	237926.0	NM_001013381	ENSMUSG00000039096	Rsad1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	94485991	94486573	0.0	-972	217116.0	NM_144827	ENSMUSG00000020867	Spata20	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	146905583	146906142	0.0	-42794	231903.0	NM_001039678	ENSMUSG00000075543	Urad	Distal	-19137.0	-4.0	Interaction_anno	nan	-1.0	-2560.0
chr11	94243640	94244023	107.595	-1253	278507.0	NM_181819	ENSMUSG00000044177	Wfikkn2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	94235981	94236500	0.0	6338	278507.0	NM_181819	ENSMUSG00000044177	Wfikkn2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr17	47146729	47146990	127.333	5918	224829.0	NM_172622	nan	Trerf1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	94211177	94211810	166.409	40	22057.0	NM_009427	ENSMUSG00000037573	Tob1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr10	128008104	128008899	0.0	-891	27400.0	NM_013786	ENSMUSG00000025396	Hsd17b6	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr17	47010532	47011324	109.587	-396	224826.0	NM_146078	ENSMUSG00000023977	Ubr2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr10	61423314	61423644	229.833	5507	18119.0	NM_013611	ENSMUSG00000037171	Nodal	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr17	46903539	46904315	0.0	-6551	19133.0	NM_008938	ENSMUSG00000023978	Prph2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr17	46888631	46889130	262.214	-1740	72726.0	NM_178385	ENSMUSG00000036430	Tbcc	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr17	46782713	46783591	0.0	-496	66229.0	NM_025433	ENSMUSG00000063888	Rpl7l1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	57990423	57991256	0.0	-7184	13070.0	NM_019779	ENSMUSG00000032323	Cyp11a1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr17	46736151	46736427	194.342	-7124	14711.0	NM_010321	ENSMUSG00000002769	Gnmt	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	104422280	104422856	0.0	6372	100316678.0	NR_035432	ENSMUSG00000084516	Mir1902	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	61275666	61276484	0.0	-2656	237360.0	NM_001081127	ENSMUSG00000059901	Adamts14	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr17	46725213	46725881	289.172	3618	14711.0	NM_010321	ENSMUSG00000002769	Gnmt	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	57944559	57945097	0.0	4716	20361.0	NM_011352	ENSMUSG00000038264	Sema7a	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	104034803	104035249	0.0	-6665	70986.0	NM_175161	nan	4931422A03Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	57935722	57936475	0.0	-4013	20361.0	NM_011352	ENSMUSG00000038264	Sema7a	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	170510914	170511727	0.0	91	109054.0	NM_001013369	ENSMUSG00000052033	Pfdn4	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	68232974	68233326	159.427	-43378	234353.0	NM_027626	ENSMUSG00000030465	Psd3	Distal	8150.5	2.0	Interaction_anno	nan	-0.0	-426.0
chr9	57774296	57774714	170.088	-8645	102414.0	NM_007713	ENSMUSG00000032316	Clk3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	61147607	61148375	0.0	-307	20397.0	NM_009163	ENSMUSG00000020097	Sgpl1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	57759416	57760134	278.669	6085	102414.0	NM_007713	ENSMUSG00000032316	Clk3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr14	21052392	21052693	60.835	-31	11534.0	NM_134079	ENSMUSG00000039197	Adk	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	119580742	119581283	0.0	-1997	20271.0	NM_021544	ENSMUSG00000032511	Scn5a	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	67917055	67917620	0.0	-6392	234353.0	NM_027626	ENSMUSG00000030465	Psd3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr14	21050780	21051222	171.396	1441	55946.0	NM_018829	ENSMUSG00000021824	Ap3m1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr8	66495764	66496285	0.0	-9495	66282.0	NM_025465	ENSMUSG00000025591	Tma16	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr12	112623743	112624380	0.0	4015	11565.0	NM_007421	ENSMUSG00000011148	Adssl1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	64946816	64947444	66.796	-55	73067.0	NM_028427	ENSMUSG00000025521	Tmem192	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	57659862	57660153	140.481	-6377	12988.0	NM_007783	ENSMUSG00000032312	Csk	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	60834916	60835299	0.0	-3527	107449.0	NM_029770	ENSMUSG00000020099	Unc5b	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr14	21048898	21049548	307.584	3219	55946.0	NM_018829	ENSMUSG00000021824	Ap3m1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	64941475	64942083	0.0	-5406	73067.0	NM_028427	ENSMUSG00000025521	Tmem192	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	103565640	103566401	277.19	-289	99382.0	NM_178890	ENSMUSG00000032724	Abtb2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	123796275	123796818	0.0	-9930	80901.0	NM_030712	ENSMUSG00000048521	Cxcr6	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	57655594	57656064	0.0	-2198	12988.0	NM_007783	ENSMUSG00000032312	Csk	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	103564557	103565132	251.755	-1465	99382.0	NM_178890	ENSMUSG00000032724	Abtb2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	57645408	57646139	0.0	-121	12988.0	NM_007783	ENSMUSG00000032312	Csk	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	57629131	57629884	0.0	-8734	235416.0	NM_199222	ENSMUSG00000056271	Lman1l	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr8	61927849	61928427	108.467	51	234311.0	NM_144928	ENSMUSG00000037921	Ddx60	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	57541241	57541830	283.653	4008	78323.0	NM_175273	ENSMUSG00000032305	Fam219b	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr14	20803419	20804061	0.0	9501	102631887.0	NR_153779	ENSMUSG00000114241	Gm30108	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	57517206	57517708	0.0	-3775	12858.0	NM_007747	ENSMUSG00000000088	Cox5a	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr14	20798808	20799378	0.0	4854	102631887.0	NR_153779	ENSMUSG00000114241	Gm30108	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	57449830	57450198	144.469	-9900	66812.0	NM_176831	ENSMUSG00000063849	Ppcdc	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	111414204	111414717	0.0	-2839	433938.0	NM_001081235	ENSMUSG00000070576	Mn1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	110840560	110841004	110.583	799	50883.0, 22022.0	NM_016681, NM_009419	ENSMUSG00000029521, ENSMUSG00000029344	Chek2, Tpst2	Promoter, Promoter	nan, 15782.5	nan, 3.0	Proximal_anno, Interaction_anno	nan, nan	nan, -0.0	nan, -1745.0
chr5	110840021	110840483	158.43	269	50883.0, 22022.0	NM_016681, NM_009419	ENSMUSG00000029521, ENSMUSG00000029344	Chek2, Tpst2	Promoter, Promoter	nan, 15252.5	nan, 3.0	Proximal_anno, Interaction_anno	nan, nan	nan, -0.0	nan, -1745.0
chr5	110788577	110789137	209.311	-8242	56361.0	NM_019700	ENSMUSG00000029507	Pus1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	110770569	110771711	0.0	191	100504049.0	NR_152254	ENSMUSG00000086401	Gm15559	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	94036005	94036251	112.575	-8002	70834.0	NM_027569	ENSMUSG00000020859	Spag9	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	93968397	93969053	0.0	-204	18102.0	NM_008704	ENSMUSG00000037601	Nme1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	93955208	93956089	155.166	134	18103.0	NM_008705	ENSMUSG00000020857	Nme2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	90637713	90638253	193.345	125	20913.0	NM_011505	ENSMUSG00000020546	Stxbp4	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	146904507	146905295	0.0	-43756	231903.0	NM_001039678	ENSMUSG00000075543	Urad	Distal	-20098.5	-4.0	Interaction_anno	nan	-1.0	-2560.0
chr6	71298775	71299332	0.0	5289	381785.0	NM_001033462	ENSMUSG00000073018	Gm1070	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	71149552	71149961	0.0	-5377	232078.0	NM_178413	ENSMUSG00000054474	Thnsl2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	71143814	71144454	274.339	246	232078.0	NM_178413	ENSMUSG00000054474	Thnsl2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	189887605	189888074	183.367	34451	19250.0	NM_008976	ENSMUSG00000026604	Ptpn14	Distal	12840.0	3.0	Interaction_anno	nan	-1.0	-3268.0
chr12	17339172	17339382	119.55	-9216	217431.0	NM_001008421	ENSMUSG00000061458	Nol10	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	70921818	70922468	0.0	-3221	74221.0	NM_028825	ENSMUSG00000051896	Tex37	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	55895453	55895889	120.546	-392	28185.0, 385658.0	NM_138599, NM_001134457	ENSMUSG00000022752, ENSMUSG00000075033	Tomm70a, Nxpe3	Promoter, Promoter	20671.5, nan	4.0, nan	Interaction_anno, Proximal_anno	nan, nan	1.0, nan	3286.0, nan
chr12	17257002	17257653	0.0	-9261	71853.0	NM_027959	ENSMUSG00000020571	Pdia6	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	70844062	70844812	86.686	-78	13666.0	NM_010121	ENSMUSG00000031668	Eif2ak3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr16	55887789	55888018	149.455	7375	28185.0, 385658.0	NM_138599, NM_001134457	ENSMUSG00000022752, ENSMUSG00000075033	Tomm70a, Nxpe3	Proximal, Proximal	12904.0, nan	3.0, nan	Interaction_anno, Proximal_anno	nan, nan	1.0, nan	3286.0, nan
chr1	106717356	106717878	0.0	-3327	12043.0	NM_009741	ENSMUSG00000057329	Bcl2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	106712316	106712895	0.0	1684	12043.0	NM_009741	ENSMUSG00000057329	Bcl2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr16	55863407	55864002	0.0	-25064	28185.0	NM_138599	ENSMUSG00000022752	Tomm70a	Distal	-11295.0	-2.0	Interaction_anno	nan	1.0	3286.0
chr1	106544811	106545217	242.248	1617	102466254.0	NR_106164	ENSMUSG00000098344	Mir3473f	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	143544406	143544808	203.935	4221	17955.0	NM_008672	ENSMUSG00000059119	Nap1l4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	55858532	55859084	0.0	-20167	28185.0	NM_138599	ENSMUSG00000022752	Tomm70a	Distal	-16191.5	-3.0	Interaction_anno	nan	1.0	3286.0
chr6	70797903	70798476	0.0	-6015	19895.0	NM_009075	ENSMUSG00000053604	Rpia	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	55852941	55853477	0.0	-14568	28185.0	NM_138599	ENSMUSG00000022752	Tomm70a	Distal	-21790.5	-4.0	Interaction_anno	nan	1.0	3286.0
chr7	80857082	80857952	0.0	-4591	22691.0	NM_009553	ENSMUSG00000038797	Zscan2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	170508669	170509375	0.0	-2208	109054.0	NM_001013369	ENSMUSG00000052033	Pfdn4	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	80799211	80799852	254.227	3799	29875.0	NM_016721	ENSMUSG00000030536	Iqgap1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr12	17018464	17018816	0.0	-6913	73667.0	NM_001201332	ENSMUSG00000071398	2410004P03Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr19	60811273	60811824	293.254	-6	67894.0	NM_026437	ENSMUSG00000024993	Fam45a	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	17011648	17012409	0.0	-302	73667.0	NM_001201332	ENSMUSG00000071398	2410004P03Rik	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	80583941	80584671	0.0	-49187	140481.0	NM_172903	ENSMUSG00000038886	Man2a2	Distal	9306.5	2.0	Interaction_anno	nan	-1.0	-3625.0
chr4	120287727	120288071	302.153	-638	329934.0	NM_194060	ENSMUSG00000052135	Foxo6	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	80386213	80386870	0.0	1404	14159.0	NM_010194	ENSMUSG00000053158	Fes	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr16	52031178	52031694	256.224	-113	208650.0	NM_001033238	ENSMUSG00000022637	Cblb	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	112619661	112620061	80.716	-186	11565.0	NM_007421	ENSMUSG00000011148	Adssl1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr17	46680818	46681297	222.285	-63	17256.0	NM_010787	ENSMUSG00000002768	Mea1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	16805552	16806150	282.657	-4965	268527.0	NM_015764	ENSMUSG00000036523	Greb1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	80379469	80380035	298.159	8194	14159.0	NM_010194	ENSMUSG00000053158	Fes	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	80377454	80378454	0.0	-6579	140481.0	NM_172903	ENSMUSG00000038886	Man2a2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr17	46680095	46680519	127.522	-146	17256.0	NM_010787	ENSMUSG00000002768	Mea1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	16754343	16754848	0.0	2643	268527.0	NM_015764	ENSMUSG00000036523	Greb1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	119558211	119558420	109.587	4362	20271.0	NM_021544	ENSMUSG00000032511	Scn5a	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	80371060	80371830	0.0	-70	140481.0	NM_172903	ENSMUSG00000038886	Man2a2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr17	46645870	46646327	169.401	-19	74764.0	NM_029091	ENSMUSG00000003546	Klc4	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	80342824	80343301	0.0	-74	68695.0	NM_026812	ENSMUSG00000030532	Hddc3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr17	46637155	46637735	294.621	-7941	71461.0	NM_175168	ENSMUSG00000023972	Ptk7	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	50736798	50737531	0.0	-4392	68190.0	NR_028300	nan	Dubr	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	80340136	80341261	0.0	-480	101869.0	NM_133952	ENSMUSG00000030533	Unc45a	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr3	145937704	145938152	0.0	-86	18749.0, 66421.0	NM_011100, NM_025555	ENSMUSG00000005034, ENSMUSG00000036873	Prkacb, 2410004B18Rik	Promoter, Promoter	12928.5, nan	3.0, nan	Interaction_anno, Proximal_anno	nan, nan	-1.0, nan	-4307.0, nan
chr16	50529980	50530540	0.0	1758	619312.0	NR_040379	ENSMUSG00000097694	G730013B05Rik	Promoter	nan	nan	Proximal_anno	nan	nan	nan
